date,time,place,name,url,confirmed
2017-10-28,13:25,Zámek Nižbor,Samhain,https://www.facebook.com/events/357473858019782/permalink/361919600908541/,TRUE
2017-10-25,20:00,Brno,Stará pekárna,http://www.starapekarna.cz/,TRUE
2017-09-01,20:45,Chrastava,Country festival Vysoká,http://www.hotelfarmavysoka.cz/www-countryfestivalvysoka-cz.php,TRUE
2017-08-19,19:00,Zámek Sychrov,Skotské hry,http://www.skotskehry.cz/,TRUE
2017-07-29,18:00,Nasavrky,Lughnasad,http://www.lughnasad.cz/,TRUE
2017-07-21,21:00,Žamberk,Kovárnafest,http://kovarnafest.cz/,TRUE
2017-07-08,20:00,Poděbrady,Svatba,,TRUE
2017-06-16,19:00,Praha,Soukromá akce,,TRUE
2017-05-11,19:30,Praha,Salmovská literární kavárna,http://www.salmovska.cz/,TRUE
2017-05-02,20:00,Praha,Klub Vagon,http://www.vagon.cz/,TRUE
2017-04-30,18:00,Trosky,Beltine,http://beltine.trosky.eu/,TRUE
2017-02-21,20:00,Praha,Blues Bahnhof,http://www.bluesbahnhof.com/,TRUE
2016-05-07,,Poděbrady,Svatba,,TRUE
2016-04-30,,Trosky,Beltine,http://beltine.trosky.eu/,TRUE
2015-11-04,,Brno,Stará pekárna,http://www.starapekarna.cz/,TRUE
2014-08-09,,Lovosice,Žafest,,TRUE
2014-07-11,,Strážnice,Festival slunce,,TRUE
2014-06-14,,Zábřeh na moravě,Moravský mumraj,,TRUE
2014-06-06,,Trocnov,Muzejní noc,,TRUE
2014-05-07,,Praha,Nalaďte se v metru,,TRUE
2014-05-07,,Praha,Blues Bahnhof,http://www.bluesbahnhof.com/,TRUE
2014-04-26,,Nižbor,Beltine,,TRUE
2014-03-20,,Praha,Soukromá akce,,TRUE
2014-02-28,,Praha,Carpe Diem,http://www.carpediemflora.cz/,TRUE
2013-12-06,,Praha,Vánoční besídka v Krásných ztrátách,,TRUE
2013-11-23,,Kolovraty,Klub u Boudů,,TRUE
2013-11-22,,Praha,Jihoměstský pivovar,,TRUE
2013-10-09,,Praha,Carpe Diem,http://www.carpediemflora.cz/,TRUE
2013-10-07,,Brno,Knihovna Jiřího Mahena,,TRUE
2013-09-21,,Praha,Soukromá akce,,TRUE
2013-08-17,,Fort XVII Křelov,Skotské hry,http://www.skotskehry.cz/,TRUE
2013-06-15,,Zábřeh na Moravě,Moravský Mumraj,,TRUE
2013-05-29,,Praha,Café Kolíbka,,TRUE
2013-05-13,,Praha,Galerie DOX,,TRUE
2013-05-13,,Divadlo v Celetné,Akce pro nemocnici Motol,,TRUE
2013-03-23,,Ostrava,Irish culture festival - Bonver aréna,,TRUE
2013-03-22,,Ostrava,Irish culture festival - gala ples v hotelu Imperial,,TRUE
2013-03-15,,Čáslav,Dusíkovo divadlo s taneční skupinou Seamróg,,TRUE
2013-03-13,,Praha,Carpe Diem,http://www.carpediemflora.cz/,TRUE
2012-12-21,,Praha,Staroměstské náměstí,,TRUE
2012-12-13,,Praha,Kavárna Dadap,,TRUE
2012-10-26,,Praha,Pavlovy narozeniny,,TRUE
2012-10-24,,,Soukromá akce,,TRUE
2012-10-06,,České Budějovice,Budějovický komediant,,TRUE
2012-09-09,,,Soukromá akce,,TRUE
2012-08-04,,Hrad Veveří,Lughnasad,http://www.lughnasad.cz/,TRUE
2012-08-03,,Praha,U Václava IV.,,TRUE
2012-07-23,,Praha,Klub Vagon,http://www.vagon.cz/,TRUE
2012-06-29,,,Soukromá akce,,TRUE
2012-06-16,,Střelice,Střelické strunobraní,,TRUE
2012-06-06,,Praha,Carpe Diem,http://www.carpediemflora.cz/,TRUE
2012-06-02,,,Soukromá akce,,TRUE
2012-05-19,,Roztoky,,,TRUE
2012-05-01,,Náměšt nad Oslavou,Beltine,http://beltine.cz/,TRUE
2012-04-10,,Praha,Staroměstské náměstí,,TRUE
2012-03-18,,Praha,Caffrey's Irish Bar,,TRUE
2012-03-17,,Praha,Václavské náměstí,,TRUE
2012-03-17,,Praha,Staroměstská restaurace,,TRUE
2012-03-15,,Praha,Staroměstská restaurace,,TRUE
2012-02-20,,Praha,Carpe Diem,http://www.carpediemflora.cz/,TRUE
2011-12-28,,Praha,Vánoční trhy na Staroměstském náměstí,,TRUE
2011-12-08,,Praha,Salmovská literární kavárna,http://www.salmovska.cz/,TRUE
2011-11-04,,Praha,Muzeum hudby,,TRUE
2011-10-01,,Praha - Střelecký ostrov,Fishfest,,TRUE
2011-10-01,,Hrad v Týnci nad Sázavou,Zakončení sezóny,,TRUE
2011-09-17,,Amfiteátr dolno-počernického zámku,Babí léto,,TRUE
2011-09-14,,Praha,Žluté lázně,,TRUE
2011-09-10,,Praha,Barandovské babí léto,,TRUE
2011-08-30,,Parník Orca,Soukromá akce,,TRUE
2011-08-19,,Zámek Sychrov,Skotské hry,http://www.skotskehry.cz/,TRUE
2011-08-17,,Praha,Balbínova poetická hospůdka,,TRUE
2011-08-03,,Praha,Žluté lázně,,TRUE
2011-07-23,,Zámek Nižbor,Lughnasad,http://www.lughnasad.cz/,TRUE
2011-06-25,,Lužná u Rakovníka,Keltování v Lužné,,TRUE
2011-06-21,,Praha,Salmovská literární kavárna,http://www.salmovska.cz/,TRUE
2011-06-18,,Zbraslav,Keltské slavnosti,,TRUE
2011-06-11,,Střelice u Brna,Střelické strunobraní,,TRUE
2011-05-08,,Počernice,Historické slavnosti v Chvalské tvrzi,,TRUE
2011-05-07,,Sokolov,Folková loděnice,,TRUE
2011-04-23,,Zámek Nižbor,Beltine,,TRUE
2011-04-14,,Praha,Branné cvičení,,TRUE
2011-04-11,,Rádio Proglas,Rozhovor v pořadu 'Jak se vám líbí',,TRUE
2011-03-09,,Praha,Salmovská literární kavárna,http://www.salmovska.cz/,TRUE
2011-01-28,,Praha,Kavárna Krásný ztráty - Křest CD 'Fairy',,TRUE
2011-01-28,,,Rozhovor na Ethno rádiu,,TRUE
2011-01-17,,Katar,,,TRUE
2011-01-09,,,Rozhovor na Country rádiu,,TRUE
2010-11-04,,Praha,Salmovská literární kavárna,http://www.salmovska.cz/,TRUE
2010-09-25,,Týnec nad Sázavou,,,TRUE
2010-09-20,,Irsko - Dublin,,,TRUE
2010-09-14,,Irsko - Cavan,Festival Fleadh,,TRUE
2010-09-10,,Irsko - Balbriggan,,,TRUE
2010-09-04,,Roztoky u Prahy,,,TRUE
2010-07-17,,Statek Bernard v Královském Poříčí,Keltské slavnosti,,TRUE
2010-07-16,,Praha - Portheimka,Festival Za vodou,,TRUE
2010-07-03,,Kraslice,Festival Na konci světa,,TRUE
2010-06-26,,Rakovník,Keltování v Lužné,,TRUE
2010-06-15,,Praha,Rybanaruby,,TRUE
2010-05-24,,Praha,Carpe Diem,http://www.carpediemflora.cz/,TRUE
2010-03-23,,Praha,Salmovská literární kavárna,http://www.salmovska.cz/,TRUE
2010-02-11,,Praha,Popocafepetl,,TRUE
2009-12-08,,Praha,Klub U náčelníka,,TRUE
2009-09-26,,Hrad v Týnci nad Sázavou,,,TRUE
2009-08-29,,Zámek Sychrov,Skotské hry,http://www.skotskehry.cz/,TRUE
2009-08-08,,Praha,Vyšehradské keltování,,TRUE
